Date,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,day_of_week,month,day_of_month
2018-05-14,-0.018830098221304343,-0.0014517527738686596,-0.0069281827319961995,0.001179436319975246,-0.01028020379844546,-0.002323244536900317,0,5,14
2018-05-11,-0.02914194575646792,-0.0015550127664013776,-0.0014517527738686596,-0.0069281827319961995,0.001179436319975246,-0.01028020379844546,4,5,11
2018-05-10,-0.020699799782220536,0.0017582815097417492,-0.0015550127664013776,-0.0014517527738686596,-0.0069281827319961995,0.001179436319975246,3,5,10
2018-05-09,-0.01872690221678586,-0.00305727370833522,0.0017582815097417492,-0.0015550127664013776,-0.0014517527738686596,-0.0069281827319961995,2,5,9
2018-05-08,-0.007489230728888906,-0.005005383578434983,-0.00305727370833522,0.0017582815097417492,-0.0015550127664013776,-0.0014517527738686596,1,5,8
2018-05-04,-0.008617545125604243,-0.012709428267011432,-0.005005383578434983,-0.00305727370833522,0.0017582815097417492,-0.0015550127664013776,4,5,4
2018-05-03,-0.010889861920732135,0.00018370582273553963,-0.012709428267011432,-0.005005383578434983,-0.00305727370833522,0.0017582815097417492,3,5,3
2018-05-02,-0.02196500172359401,-0.008553566025421825,0.00018370582273553963,-0.012709428267011432,-0.005005383578434983,-0.00305727370833522,2,5,2
2018-05-01,-0.012707453864741765,0.005384872265912163,-0.008553566025421825,0.00018370582273553963,-0.012709428267011432,-0.005005383578434983,1,5,1
2018-04-30,-0.014814966530039053,-0.003032486013000309,0.005384872265912163,-0.008553566025421825,0.00018370582273553963,-0.012709428267011432,0,4,30
2018-04-27,-0.018028272369387692,-0.001471756779114477,-0.003032486013000309,0.005384872265912163,-0.008553566025421825,0.00018370582273553963,4,4,27
2018-04-26,-0.012543595639549442,-0.0009446085739797972,-0.001471756779114477,-0.003032486013000309,0.005384872265912163,-0.008553566025421825,3,4,26
2018-04-25,-0.008434619492069265,-0.010825882820549717,-0.0009446085739797972,-0.001471756779114477,-0.003032486013000309,0.005384872265912163,2,4,25
2018-04-24,-0.027214003132564654,-0.005690267536949714,-0.010825882820549717,-0.0009446085739797972,-0.001471756779114477,-0.003032486013000309,1,4,24
2018-04-23,-0.027496291080376257,0.006225061845851938,-0.005690267536949714,-0.010825882820549717,-0.0009446085739797972,-0.001471756779114477,0,4,23
2018-04-20,-0.014161640595317711,-0.0035792694444117647,0.006225061845851938,-0.005690267536949714,-0.010825882820549717,-0.0009446085739797972,4,4,20
2018-04-19,-0.009677012788601239,-0.004157914413328436,-0.0035792694444117647,0.006225061845851938,-0.005690267536949714,-0.010825882820549717,3,4,19
2018-04-18,-0.008261062125409287,-0.005341206090711466,-0.004157914413328436,-0.0035792694444117647,0.006225061845851938,-0.005690267536949714,2,4,18
2018-04-17,0.0056165967920624085,-0.001581291389469537,-0.005341206090711466,-0.004157914413328436,-0.0035792694444117647,0.006225061845851938,1,4,17
2018-04-16,-0.00047940138277078985,-0.01255432179464345,-0.001581291389469537,-0.005341206090711466,-0.004157914413328436,-0.0035792694444117647,0,4,16
2018-04-13,-0.01120151245282271,-0.0038615573922233673,-0.01255432179464345,-0.001581291389469537,-0.005341206090711466,-0.004157914413328436,4,4,13
2018-04-12,-0.00813957338834735,0.009176736071730108,-0.0038615573922233673,-0.01255432179464345,-0.001581291389469537,-0.005341206090711466,3,4,12
2018-04-11,-0.031228856111284807,-0.0008565782839949941,0.009176736071730108,-0.0038615573922233673,-0.01255432179464345,-0.001581291389469537,2,4,11
2018-04-10,-0.03305701141430626,-0.00016534072627758534,-0.0008565782839949941,0.009176736071730108,-0.0038615573922233673,-0.01255432179464345,1,4,10
